"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","playerid"
"Brad Hand","Indians","3","2","22","3","3.14","0","48","48.0","37","17","5","62","17","1.14","11.83","3.17","3.22","1.0","9111"
"David Robertson","Phillies","1","1","1","0","3.27","0","13","13.0","10","5","1","18","6","1.18","12.13","3.72","3.22","0.1","8241"
"Noah Syndergaard","Mets","8","6","0","0","3.46","21","21","128.0","120","49","13","135","32","1.18","9.47","2.23","3.22","2.8","11762"
"Diego Castillo","Rays","3","2","3","10","3.21","0","45","45.0","37","16","5","55","16","1.17","10.92","3.17","3.24","0.8","17496"
"Giovanny Gallegos","Cardinals","2","1","0","8","3.31","0","31","31.0","25","11","4","39","9","1.14","11.49","2.79","3.25","0.3","14986"
"Keone Kela","Pirates","3","2","1","12","3.39","0","41","41.0","34","16","4","52","16","1.19","11.26","3.39","3.25","0.7","14696"
"Clayton Kershaw","Dodgers","9","5","0","0","3.20","20","20","124.0","112","44","15","127","23","1.08","9.18","1.66","3.27","2.6","2036"
"Taylor Rogers","Twins","2","1","4","10","3.28","0","44","44.0","39","16","4","47","13","1.19","9.65","2.70","3.28","0.9","13449"
"Liam Hendriks","Athletics","2","1","0","6","3.43","0","33","33.0","28","13","3","38","12","1.20","10.26","3.14","3.28","0.3","3548"
"Stephen Strasburg","Nationals","9","6","0","0","3.44","21","21","125.0","110","48","15","145","34","1.15","10.39","2.44","3.29","2.7","10131"
"James Paxton","Yankees","8","5","0","0","3.42","19","19","108.0","93","41","13","129","31","1.14","10.71","2.56","3.31","2.8","11828"
"Joakim Soria","Athletics","3","2","1","11","3.36","0","43","43.0","38","16","4","46","15","1.22","9.65","3.10","3.31","0.8","6941"
"Will Harris","Astros","3","2","0","9","3.46","0","40","40.0","36","15","4","41","12","1.19","9.28","2.62","3.31","0.4","3192"
"Kenley Jansen","Dodgers","3","2","21","5","3.25","0","44","44.0","35","16","6","56","11","1.04","11.44","2.20","3.32","0.8","3096"
"Jake Diekman","Royals","1","1","0","7","3.26","0","31","31.0","24","11","2","38","15","1.28","11.15","4.48","3.33","0.3","5003"
"Corey Kluber","Indians","2","1","0","0","3.43","3","3","21.0","18","8","2","22","5","1.12","9.49","2.02","3.34","0.5","2429"
"Danny Salazar","Indians","1","1","0","0","3.30","1","18","23.0","19","9","3","30","8","1.14","11.62","3.15","3.34","0.2","5867"
"Andrew Miller","Cardinals","3","2","1","10","3.33","0","37","37.0","30","14","4","49","14","1.19","11.83","3.46","3.35","0.4","6785"
