All Pitchers Year to Date MLB True Talent Categories,,,,,,,,,,,,,,,,,
Avail,Player,INN,GS,BFP,PC,W,S,K,BB,H,HR,ER,ERA,WHIP,Kd9,BBd9,Rank
Bus 3,Chris Sale SP | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tony Barnette RP | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Severino Gonzalez RP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brady Anderson RP | MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Marco Estrada SP | OAK ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Andrew Russell RP | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Richard Bleier RP | BAL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jeff Locke SP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Josh Turley P | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Parker Markel RP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kieran Lovegrove SP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Denyi Reyes SP | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Anyelo Leclerc RP | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Johendi Jiminian P | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jared Hughes RP | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Bryan Hudson SP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Juan Then SP | NYY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Seth Lugo RP | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Alan Busenitz RP | MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tony Zych RP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Nick Tropeano SP | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kyle Hunter P | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
